"Part Number","Noun","Kit Name","Manufacturer","State Status","Current Status","Remarks","Form 48 Number","Die Required","Die Number","Shop Name","Updated By","Updated At","History"
"HB1-203F-M3X10","SCREW","Kit C 125","","Under Indegenization","Under Drawing","Metallic-JC HELD WITH JF17 TEAM SAMPLE REQUIRED","","false","","","Abdullah","2025-01-14T22:27:50.838Z","1"
"HB1-203F-M3X6","SCREW","Kit C 125","","Under Indegenization","Under Drawing","Metallic-JC HELD WITH JF17 TEAM SAMPLE REQUIRED","","false","","","Abdullah","2025-01-14T22:27:50.838Z","1"
"HB1-221F-M3X12","SCREW","Kit C 125","Machine shop","Under Indegenization","Under Feasibility 22-01-25","Metallic-","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.838Z","1"
"HB1-GD2X3X0.5","GASKET","Kit C 125","","Under Indegenization","Under Drawing","Rubber-stand not available, sample not available","","false","","","Abdullah","2025-01-14T22:27:50.838Z","1"
"HB1XGD3X4X0.5","GASKET","Kit C 125","","Under Indegenization","Under Drawing","Rubber-stand not available, sample not available","","false","","","Abdullah","2025-01-14T22:27:50.838Z","1"
"HTPQ-6X10","SLEEVE","Kit C 125","","Under Indegenization","Sample Awaiting","Rubber-COT ITEM DISCUSS WITH PFM ASIF SB 10-3-25","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.838Z","1"
"HB6258-M2","NUT","Kit C 125","Machine shop","Under Indegenization","Under Feasibility 17-03-25","Metallic-Under Feasibility 17-03-25","","false","","ELECTRICAL SHOP","Abdullah","2025-01-14T22:27:50.839Z","1"
"M444003","DISC SHAPPED SPRING","Kit C 125","PMC, SMS, MS","Under Indegenization","Under Feasibility 13-03-25","Metallic-Under Feasibility 13-03-25","","false","","","Abdullah","2025-01-14T22:27:50.839Z","1"
"HB1-203F-4X12","SCREW","Kit C 125","","Under Indegenization","Under Drawing","Metallic-Under Dwg after solving querry  05-03-2025","","false","","","Abdullah","2025-01-14T22:27:50.839Z","1"
"HB1-203F-M3X8","SCREW","Kit C 125","","Under Indegenization","Under Drawing","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.839Z","1"
"HB1-203F-M4X10","SCREW","Kit C 125","","Under Indegenization","Under Drawing","Metallic-Under Dwg after solving querry  27-02-2025","","false","","","Abdullah","2025-01-14T22:27:50.839Z","1"
"HB1-203F-M4X12","SCREW","Kit C 125","","Under Indegenization","Under Drawing","Metallic-Under Dwg after solving querry  05-03-2025","","false","","","Abdullah","2025-01-14T22:27:50.840Z","1"
"RDF44-0003","SPRING","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.840Z","1"
"RDF44-0004","SPRING SEAT","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.840Z","1"
"RDF44-1001","VALVE","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.840Z","1"
"YDF33-1012","SLIDE VALVE","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.840Z","1"
"YDF33-1014","SPRING","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.840Z","1"
"FR307-104","SPRING SEAT","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.841Z","1"
"FR307-105","SPRING SEAT","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.841Z","1"
"FR307-106","SPRING","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.841Z","1"
"FR307-107","SMALL SHAFT","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.841Z","1"
"FR307-108","VALVE SEAT","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.841Z","1"
"J7I-4102-315","BOLT","Kit C 125","Machine shop","Under Indegenization","Under Feasibility 13-03-25","Metallic-","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.841Z","1"
"YDT12-005","NUT","Kit C 125","Machine shop","Part Under TF","Under Feasibility 26-02-25","Metallic-","WTFMS2403250003","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.841Z","1"
"YDT12-012","LABEL","Kit C 125","PMC","Part Under TF","CAN BE MFG","Metallic-RE FEASIBILITY SENT TO PMC 04-03-25","WTFPM1803250060","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.841Z","1"
"16D106-36-30.2-B","PROTECTIVE RING","Kit C 125","","Form 17 Pending","Form-017 Requried","Rubber-","","false","","","Abdullah","2025-01-14T22:27:50.841Z","1"
"16D106-45.4-40","PROTECTIVE RING","Kit C 125","","Form 17 Pending","Form-017 Requried","Rubber-","","false","","","Abdullah","2025-01-14T22:27:50.841Z","1"
"QYF44-02","SCREW PLUG","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.842Z","1"
"QYF44A-02","VALVE","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.842Z","1"
"HB6260M4RI-hole 3","NUT","Kit C 125","Machine shop","Under Indegenization","Under Feasibility 17-03-25","Metallic-","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.842Z","1"
"HB6260M5RI-hole 3","NUT","Kit C 125","Machine shop","Under Indegenization","Under Feasibility 17-03-25","Metallic-","","false","","AFR ACCY SHOP II","Abdullah","2025-01-14T22:27:50.842Z","1"
"RDF23-111","RIVET","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.842Z","1"
"RDF23-113","SCREW","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.842Z","1"
"RDF23-101","PIN","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.842Z","1"
"RDF23-106","SPRING","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.842Z","1"
"CT28-105","LIFT ROD","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.842Z","1"
"YDF23-106","LOWER VALVE","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.842Z","1"
"YDF23-109","CAP COVER","Kit C 125","","Form 17 Pending","Form-017 Requried","Metallic-","","false","","","Abdullah","2025-01-14T22:27:50.843Z","1"
