Sno,partNumber,noun,kitName,stateStatus,currentStatus,manufacturer,form48number,userName,dieNumber,remarks
78,HB4-56J7-31,Seal Ring,Kit C 125,Part Trial Testing,Under Trial Test SHOP 1,,WLOGTF180720220021,AFR ACCY SHOP I,,Rubber-Under Trial Test SHOP 1
79,HB4-58-31-2B,Guard Ring,Kit C 125,Part Trial Testing,Under Trial Test SHOP 1,,WLOGTF180720220022,AFR ACCY SHOP I,,Rubber-FZ20-1009
80,HB4-56J7-121,Seal Ring,Kit C 125,Part Trial Testing,Under Trial Test SHOP 1,,WLOGTF250820220008,AFR ACCY SHOP I,81-K8-27,Rubber-FZ20-1005
81,HM12X1.5GB54-45,Nut,Kit C 125,Part Trial Testing,"Under Trial Test Recovery Cell, TRIAL ISSUE CALL TO 2091 AFM AMJAD, NEW F-48 RAISED PART MISPLACED BY USER",Recovery Cell,WTFMS2003250083,RECOVERY CELL,,Metallic-ALSO IN K8 PARTS V2 SR 103
82,GB/T67-M2x5,FILLISTER HEAD SCREW,Kit C 125,Under Indegenization,Under Drawing 18-03-25,Machine shop,,AVIONIC SHOP,,Metallic-Under Drawing 18-03-25
83,CD1-0000-11,CONDUCTING RING,Kit C 125,Under Indegenization,Under Drawing 06-03-25,,,AVIONIC SHOP,,"Metallic-Material, Hardness and ST info N/A"
84,CD1-0000-01,SCREW,Kit C 125,Under Indegenization,Under Drawing 18-03-25,Machine shop,,AVIONIC SHOP,,Metallic-Under Drawing 18-03-25
85,CD1-0000-15,BUSH,Kit C 125,Under Indegenization,Under Drawing 06-03-25,Machine shop,,AVIONIC SHOP,,Metallic-Under Feasibility 21-03-25
86,HB1-521GD-5X2X1,GASKET,Kit C 125,Under Indegenization,Under Drawing,,,,,Rubber-Under Drawing
87,GB/T6170-1986-M2.5-1Cr18Ni9Ti,NUT,Kit C 125,Under Indegenization,Sample Awaiting,,,,,Metallic-
88,GB/T6170-1986-M5-1Cr18Ni9Ti,NUT,Kit C 125,Form 17 Pending,Form 17 Pending,,,,,Metallic-
89,GB861.1-87-2.5-Ep·ZnNi3·P,INTERNAL TOOTH LOCKING WASHER,Kit C 125,Beyond Capability,Beyond Design,,,ELECTRICAL SHOP,,Metallic-
90,GB/T818-2000-3-A140,WASHER,Kit C 125,Part Under TF,CAN BE MFG,PMC,WTFPM1303250001,ELECTRICAL SHOP,,Metallic-RE FEASIBILITY SENT TO PMC 04-03-25
91,GB/T818-2000-M2x5-A2-70,SCREW,Kit C 125,Under Indegenization,Under Feasibility 08-01-25,Machine shop,,ELECTRICAL SHOP,,Metallic-Under Feasibility 08-01-25
92,GB/T818-2000-M2x6-A2-70,SCREW,Kit C 125,Part Under TF,Under Feasibility 26-02-25,Machine shop,,ELECTRICAL SHOP,,Metallic-Under Feasibility 26-02-25
93,GB/T818-2000-M3x6-A2-70,SCREW,Kit C 125,Part Under TF,Under Drawing,,,,,Metallic-Under Drawing
94,GB/T819.2-1997-M2.5X5-A2-70,SCREW,Kit C 125,Under Indegenization,Under Feasibility 11-03-25,Machine shop,,ELECTRICAL SHOP,,Metallic-Under Feasibility 11-03-25
95,GB/T819.2-1997-M2.5x80·Zn5~8·DH(Black),SCREW,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-Under Drawing
96,GB/T819.2-1997-M2x6-A2-70,SCREW,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-Under Drawing
97,HB2-6-6X6,RUBBER RING,Kit C 125,Die under Drawing,Die under Drawing 04-02-25,,,ELECTRICAL SHOP,,Rubber-Die under Drawing 04-02-25
98,HB1-203F-M3X10,SCREW,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-JC HELD WITH JF17 TEAM SAMPLE REQUIRED
99,HB1-203F-M3X6,SCREW,Kit C 125,Under Indegenization,Under Drawing,,,,,Metallic-JC HELD WITH JF17 TEAM SAMPLE REQUIRED
100,HB1-221F-M3X12,SCREW,Kit C 125,Under Indegenization,Under Feasibility 22-01-25,Machine shop,,ELECTRICAL SHOP,,Metallic-
101,HB1-GD2X3X0.5,GASKET,Kit C 125,Under Indegenization,Under Drawing,,,,,"Rubber-stand not available, sample not available"
102,HB1XGD3X4X0.5,GASKET,Kit C 125,Under Indegenization,Under Drawing,,,,,"Rubber-stand not available, sample not available"
103,HTPQ-6X10,SLEEVE,Kit C 125,Under Indegenization,Sample Awaiting,,,ELECTRICAL SHOP,,Rubber-COT ITEM DISCUSS WITH PFM ASIF SB 10-3-25
104,HB6258-M2,NUT,Kit C 125,Under Indegenization,Under Feasibility 17-03-25,Machine shop,,ELECTRICAL SHOP,,Metallic-Under Feasibility 17-03-25
105,M444003,DISC SHAPPED SPRING,Kit C 125,Under Indegenization,Under Feasibility 13-03-25,"PMC, SMS, MS",,,,Metallic-Under Feasibility 13-03-25
